interaction_id,customer_id,interaction_timestamp,interaction_type,agent_id,subject,notes,outcome,sentiment
1,80,2026-03-06 03:30:00.063382,Call,1601,Call regarding account services,Agree herself conference pay standard keep ability election parent class yourself discussion tree score everyone skill.,Follow-up Needed,
2,116,2025-10-14 06:36:06.117836,Chat,1316,Chat regarding account services,Letter much increase maybe until hit heavy political professional.,Pending,Neutral
3,117,2025-07-05 18:05:10.987782,Complaint,1759,Complaint regarding account services,Tell serve TV bill practice education sign TV probably top pressure behavior ability vote simple boy approach out.,Pending,Neutral
4,268,2024-04-21 12:23:26.067156,Call,1253,Call regarding account services,Data message much military together which assume city change.,Escalated,Neutral
5,33,2025-04-27 09:46:59.572558,Call,1927,Call regarding account services,Strategy successful for water produce affect challenge medical often fund north political level.,Resolved,Positive
6,245,2025-04-19 18:54:49.975670,Branch Visit,1119,Branch Visit regarding account services,View rate rest this his body son image car newspaper most subject drive build arm.,Resolved,Positive
7,100,2025-01-23 04:25:03.929309,Call,1603,Call regarding account services,Exactly despite sort high prepare politics free miss start machine accept condition save.,Follow-up Needed,Negative
8,141,2025-07-14 22:06:15.246935,Email,1694,Email regarding account services,Class theory Democrat others one voice choose development hair across necessary entire later.,Pending,
9,49,2024-05-03 09:35:03.491739,Email,1947,Email regarding account services,Heavy set a truth family heart card share ready among great recognize interesting may bad mouth keep happen walk.,Pending,Negative
10,108,2025-01-07 17:15:02.352051,Call,1584,Call regarding account services,Subject together national budget them now your eat hard voice hundred charge culture.,Escalated,Neutral
11,138,2024-12-24 21:03:27.634971,Complaint,1234,Complaint regarding account services,Page person more exist available health financial staff whose talk project company security week control modern.,Pending,Negative
12,207,2025-06-17 06:14:12.085508,Branch Visit,1056,,Himself huge whom we notice impact country general.,Resolved,Positive
13,219,2025-12-31 08:19:38.503128,Email,1809,Email regarding account services,Price child trip owner week nature democratic seem same tend hundred method report late cost trouble its feeling east.,,Negative
14,241,2026-02-11 14:20:35.170279,Email,1974,Email regarding account services,Time spend believe customer month couple share be yard I ahead to.,,Neutral
15,225,2026-03-06 12:09:35.617877,Call,1945,Call regarding account services,Upon chair pay section attack society scientist product table that room nor design brother daughter specific.,Follow-up Needed,Negative
16,46,2025-06-28 17:13:18.485576,Email,1448,Email regarding account services,,No Response,Neutral
17,110,2026-03-17 01:16:13.699148,Email,1188,Email regarding account services,Part song performance end town husband trip nothing with since TV without almost write have.,Pending,Negative
18,203,2024-05-22 16:00:02.970555,Branch Visit,1825,Branch Visit regarding account services,Early very large impact beyond moment occur within check share trip politics side support.,Escalated,Negative
19,171,2026-02-05 15:27:02.248770,Email,1649,Email regarding account services,Election represent fish who prevent lot peace sure best appear majority cultural college many wife artist industry.,No Response,Neutral
20,221,2024-07-30 10:49:53.310612,Chat,1837,Chat regarding account services,Chair four perform structure our audience cup machine decide.,Resolved,Positive
21,222,2024-08-02 17:53:45.613478,Complaint,1910,Complaint regarding account services,,Pending,Neutral
22,273,2025-08-08 19:33:09.983436,Email,1468,Email regarding account services,Including baby serious author likely alone try newspaper sit ground low draw price tell or bad.,Pending,Neutral
23,66,2024-04-17 12:06:34.365462,Email,1553,Email regarding account services,Next government ability get score rock space fly strong.,Resolved,Positive
24,14,2025-06-16 17:28:22.548146,Chat,1140,Chat regarding account services,Eat project two another man list anything action early stock actually find throughout bring.,,Negative
25,64,2024-09-19 01:52:11.266183,Call,1095,Call regarding account services,Change bank much race open hour civil vote rule draw he star never range everything will season process.,Follow-up Needed,Neutral
26,260,2025-01-01 14:35:15.738834,Call,1368,,Part full wife him reality remember deal data door result car.,Resolved,Positive
27,223,2026-03-11 07:15:09.178571,Chat,1968,Chat regarding account services,Enough again traditional tonight seven subject maintain measure who next yeah amount collection.,Resolved,Positive
28,166,2025-06-02 08:38:21.471920,Call,,Call regarding account services,Begin stuff state pick without tend bad current task certainly hope beyond friend every full another clear human cost.,Escalated,Neutral
29,151,2025-01-10 00:49:36.293915,Call,1380,Call regarding account services,Yes sometimes public city adult difficult toward question live weight guy everything lose.,Escalated,Negative
30,157,2025-12-12 05:58:39.137316,Call,1413,Call regarding account services,Truth time bag seek eye second statement occur role office.,,Positive
31,269,2025-10-29 16:27:19.111772,Call,1173,Call regarding account services,,Follow-up Needed,Neutral
32,1,2024-12-30 01:34:07.417456,Email,1318,Email regarding account services,Any up appear door how draw stop he can most political positive investment study perhaps.,Resolved,Positive
33,116,2024-08-26 11:47:42.344608,Email,1675,Email regarding account services,Or write around scientist police century career part fund.,Resolved,Positive
